,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90
44,Glycine,5062,6706,272,524,7714,4542,5396,4508,928,866,656,484,918,854,338,204,392,666,750,676,560,600,1032,782,336,532,12716,11192,5080,7262,8212,8694,2450,2880,5488,9894,2518,3232,4532,4832,2746,3046,5126,4040,3862,4838,368,644,160,340,214,248,226,1082,4634,2676,370,196,634,308,720,514,684,830,444,830,292,490,406,320,408,226,734,502,572,680,260,848,1082,1166,490,320,366,264,402,414,1300,1272,440,840
45,Glycocholic acid,3516,3262,9832,10876,8946,8546,2592,2790,25686,30448,250946,299452,942,1314,249386,252852,10974,11354,3042,2828,4672,5356,11852,10872,17560,14568,7494,7424,2344,2296,1684,1064,1890,1876,5210,5746,4234,4918,1390,1316,13640,11358,1662,1228,1560,1424,1962,2022,136,492,0,0,1550,1656,262,394,184,0,10786,11850,938,1296,1548,1714,4560,3224,4260,3872,2056,2068,60116,73138,30230,27028,26956,22926,432,0,5608,5580,7462,6952,488,586,642,742,2880,2550,0,0
46,Guanidine,2062,1786,2144,1966,2406,1868,2534,2018,2412,2194,2010,2464,2508,2314,2650,2436,2602,3074,2762,2726,2760,2520,2474,2640,2766,2446,3692,3200,3380,2204,3146,2774,2278,2692,2498,2554,2668,2538,2438,2380,2818,2630,2524,2654,3624,2452,2870,2906,2544,2206,2554,2280,2012,2242,2190,2494,2186,2090,2778,2550,2316,2492,2416,2516,2392,2688,2634,2424,2052,2090,2554,2220,2756,2202,2554,2738,2146,2410,2806,2922,2350,2666,2482,2326,2510,2226,2808,2266,2128,2376
47,Hippuric acid,2922,2704,4854,5016,0,296,0,108,0,178,320,0,666,650,0,0,1708,1100,2356,3644,832,928,0,542,1060,1076,6388,5854,7558,4996,5360,5326,1326,1148,0,0,87204,92258,2722,2652,6448,7300,9800,12312,0,0,1460,1652,0,162,0,0,0,0,1516,1566,0,0,1360,1488,4810,5062,3542,3476,0,0,10166,11136,3098,2270,2234,2448,656,756,4074,4578,0,0,22950,23584,1174,1176,854,712,908,1344,7894,7502,1140,1118
48,Homoveratric acid,1130,1128,2208,2132,1304,1644,2114,1810,2542,3040,2714,3028,1366,1224,908,1096,1008,1054,1280,2072,2720,2756,1450,1260,616,616,1966,1884,1032,902,3126,2914,1468,1142,1242,1656,3184,3226,3386,2408,2260,1734,930,1222,1324,1588,2506,2252,254,116,0,242,1328,1070,542,752,130,202,1304,1232,766,990,1294,814,1620,1374,488,412,382,622,784,1168,1082,1172,796,560,686,710,1298,862,1258,1262,1184,1022,260,100,1262,932,1284,1042
49,Hypoxanthine,282,176,1262,1188,316,116,0,0,398,0,556,328,404,248,178,338,350,624,274,232,4194,2600,356,400,396,582,1022,726,0,236,1548,954,904,884,3556,2850,1156,700,952,1140,308,320,1716,2276,270,0,1270,1080,174,216,242,220,398,252,314,208,232,446,264,334,13190,11882,18584,18694,4920,5368,6404,5628,9052,8332,1690,2130,7714,6520,2474,2440,3306,2698,4164,4774,7224,5748,21416,18050,210,204,4326,4250,824,684
50,Indole,44198,45790,49984,49076,30798,30398,45982,42976,48698,46770,45792,42304,40622,35782,18898,19228,28888,26764,37652,37280,27618,24160,53142,53074,23872,24120,68412,68162,32406,32382,57758,53950,27274,28834,37068,39428,28174,27756,0,0,53136,52460,26938,24640,26082,22932,61206,61430,4888,5250,3778,4016,14262,16892,6670,9146,4604,6788,60174,56886,23738,25692,35468,36084,25982,26948,23342,22504,21018,21746,20660,20722,38210,31624,57430,64728,12856,12802,29902,32638,39240,39388,23704,20546,11356,60134,54082,55762,26054,29454
51,Indoleacetic acid,4800,4136,3656,4180,2052,2298,4878,4534,2916,3366,7172,8322,1126,1064,296,532,1210,1760,1748,1792,7312,7490,3826,3816,1570,2280,8724,8326,2100,1926,1530,1530,2774,2064,1420,1076,3888,3824,1850,1568,26226,23930,7822,7134,2832,2456,2940,2992,292,0,108,186,666,874,1418,1142,484,452,2340,2432,1186,1236,976,1242,1448,900,1984,1684,1624,1234,1426,1382,1084,1026,2564,2766,1006,1172,3678,3468,938,1340,1288,1186,846,884,2270,1838,1588,2094
52,Indolelactic acid,4432,4152,2576,2314,3972,4030,9532,9816,5604,5828,10842,14378,3490,3354,2734,2572,2156,2220,3140,3116,5432,5046,5274,6032,3528,2974,5394,4644,5396,5234,11078,10884,2848,1996,5872,7458,9122,10786,10892,11016,4760,5268,5120,6528,4094,3820,4214,2950,0,584,692,630,2556,2436,2596,2334,670,664,4430,5542,1578,1700,4136,3886,5318,6888,1124,1788,3902,3424,2122,2206,3792,3506,4634,4946,2150,2284,2630,2630,3264,3548,2884,3038,972,1128,4904,4392,2748,0
53,Inosinic acid,556,276,178,0,268,262,204,378,0,644,276,390,370,454,222,0,0,240,0,290,486,332,234,430,186,264,580,1448,1638,362,2892,2542,528,1006,2796,510,952,1166,1016,834,2220,2110,428,866,2128,1952,514,204,268,140,212,456,286,306,406,198,246,366,372,294,286,364,0,948,308,336,318,486,286,460,0,456,0,536,368,0,0,470,390,0,1032,1042,0,0,276,200,288,486,256,560
54,Isobutyric acid,5816,6448,7126,6862,8142,8730,8150,7572,6974,6936,10140,8468,9540,9328,10328,9968,9470,10582,12440,9962,11624,13796,11376,9326,9312,10108,9456,10536,8876,11434,9478,11480,10852,11254,15896,14322,15436,13026,10560,8586,9860,9290,13296,7682,9056,8336,9828,8776,13366,9652,9394,9656,12716,12648,7772,6568,11516,10610,11376,12546,15226,9346,13402,9380,14208,12510,8480,10554,9370,7654,8644,7060,11032,9718,11382,8742,9372,8910,10312,9272,12380,12142,9046,12500,8926,10212,10804,10064,11708,8944
55,Isovalerylcarnitine,16350,16914,25640,23794,22366,24448,62274,69876,50500,52674,54044,56640,12716,9712,18072,18266,27346,26380,12156,13002,16658,14096,59554,65198,12498,13302,25450,24890,43098,36600,67234,60970,54120,50130,43636,44180,40816,41864,26518,30522,40622,44188,15192,12448,19158,17926,15974,17366,3734,4080,2724,2896,22976,22208,7202,6326,6012,4694,45586,46290,7010,8114,78292,77348,43416,46642,12790,12828,14838,14752,23552,21690,18076,18892,21422,15768,12238,15022,25430,25526,43254,42486,28988,28208,5650,6940,15206,16604,12204,14054
56,Kynurenic acid,1302,1422,840,864,992,1020,8774,7572,2130,2166,4880,4440,1502,1566,1544,1338,794,1420,918,1700,3488,3170,2660,0,2790,2754,1492,1756,2996,2908,6428,5268,2738,2364,5496,4644,61014,66054,2804,2934,1022,1334,2584,1880,1424,1482,2954,2648,0,438,336,356,964,706,1418,2258,312,368,5310,5270,1010,1046,2594,2794,3016,2892,1110,1128,844,1106,780,756,1594,1066,1640,1666,1030,1660,1876,1524,2552,2710,1504,1198,698,502,2414,1790,3096,3400
57,L-Acetylcarnitine,66002,65618,99660,40590,74312,23112,57392,61906,91764,153274,132914,102332,80476,179024,47204,48510,76986,77236,54934,55310,129024,161388,84914,82014,68006,43218,209140,187664,194566,273854,220636,201398,92070,103884,90906,138918,139636,144384,95520,114878,61580,83962,61182,54878,34716,34608,92830,106268,6832,6924,4632,4972,9740,21298,30736,16672,6632,6016,200934,202478,74860,57648,64286,101168,64452,118726,23210,29506,22956,28570,23106,23116,162634,114794,129020,127350,21582,18400,103380,63526,45936,24524,15374,23808,29134,30372,76836,105936,26614,39658
58,L-Arginine,2680,2646,3868,2710,1176,1060,5222,5028,5748,6596,2450,2268,1006,856,1602,1628,1420,1864,1132,1280,1838,1736,3988,3136,1058,834,1670,1506,2898,3620,2370,2556,1746,2126,4000,4006,3374,3566,2292,3084,3916,3778,2610,2728,736,1280,3458,2884,1000,976,1316,1438,0,2388,574,1270,1156,0,1228,1358,766,702,1670,1502,3748,4202,644,876,1606,2562,0,1560,760,708,2360,2468,1598,1154,1286,1146,2252,2256,2064,2176,338,428,1416,1376,362,264
59,L-Carnitine,26064,24332,36392,37332,17098,16456,31294,22554,30324,32840,46394,42612,28382,28000,23324,21484,19222,18198,18690,18546,41802,42914,60072,68268,14684,13386,32320,33436,42550,40134,50646,67124,27984,29038,36884,36116,31734,25488,32500,31194,45400,48732,20592,21080,34226,34128,31230,28898,4538,4246,6682,7922,13954,13826,9458,8348,10260,9552,45014,41042,21968,22812,49850,50404,35176,40258,20984,20062,27900,26926,27836,30586,30854,32424,44686,51290,17682,16030,16468,15924,31006,33758,25574,26384,14956,14042,33138,34696,13412,13988
60,L-Glutamine,750,884,3314,3842,304,288,3278,3010,1082,1300,1098,916,956,1164,160,0,1054,1350,2028,2072,3624,3984,888,806,494,278,1414,1540,3230,3524,5046,5586,1298,900,268,266,60354,60876,14532,15266,4714,5792,3774,5394,1424,714,726,230,0,400,0,0,866,652,4114,3442,240,254,390,358,728,516,1980,1590,124,248,1356,1026,1268,1412,1932,2712,652,836,1486,1252,236,236,7120,7672,1490,1372,0,610,796,702,2996,3268,1216,1388
61,L-Histidine,1628,1830,1372,1634,1306,1238,1994,2028,1658,1698,1924,2042,1712,1772,1744,1452,1120,1408,1490,1312,1382,1706,1234,1736,1410,1308,1736,1396,2120,1716,1364,1948,1732,1720,1766,1896,2292,1842,1868,1610,1458,1628,2580,2028,1576,1280,1442,1572,994,0,1458,0,0,1672,1286,1674,1456,1040,2138,2092,1214,1376,1718,2530,1814,2214,1850,2110,1516,1586,1466,1678,2046,1784,1840,2226,2078,2332,1516,1934,2052,1632,1700,2118,1448,1992,2102,1928,2046,1756
62,L-Kynurenine,13208,12878,8502,8948,13414,14136,29234,28324,8222,8318,39068,37258,11598,14450,6256,5888,10916,13372,7742,7210,25476,25804,10922,10760,6716,6934,20130,21474,24394,23350,21590,22846,12796,11308,18040,18384,17646,19808,15704,17106,9012,8244,9812,10392,10734,11652,15584,6806,1414,2160,1196,1432,4878,6304,6800,6808,1572,1724,25970,22054,6284,6916,9664,9346,13650,12464,6754,6258,7982,7656,5974,6540,9988,10302,20496,22278,5800,6362,11362,13718,0,9450,4002,4586,5360,8126,8916,10562,21538,17848
63,L-Methionine,3166,2842,4302,4540,3310,2134,8924,9074,6206,8962,6220,5590,3866,2956,1884,2560,1746,2580,2612,2590,2840,2218,6650,6012,1878,1638,2670,4400,5332,7630,5652,5768,2032,2274,8450,14448,5716,6606,3040,2652,4146,4206,3668,3574,1954,1886,5682,4530,506,1076,1156,1006,0,2190,1936,1496,1474,1280,3414,3786,2140,2026,8048,10324,5878,8236,2836,2658,2524,3072,2450,2754,5008,4978,6592,7716,2844,3342,4172,3948,5590,5932,2912,3922,1470,340,7444,5514,1762,2330
64,L-Norleucine,12444,13536,12702,12682,8854,11672,18290,17160,22358,16268,17928,18244,11018,10296,10404,9334,15346,14084,21104,21798,14368,14926,21822,22972,14140,13320,15662,11370,20754,8764,30826,32506,13730,12446,25122,6058,15978,17202,13778,12414,24380,26686,6044,9338,9874,10194,17960,23096,3564,3134,4066,3952,10942,11088,3676,7350,3926,4094,27784,24836,9144,9954,21962,18558,17924,12384,10410,10570,10424,8712,12320,12304,18276,19610,16618,17362,7650,7578,18942,18024,22104,22116,8778,11458,8104,7100,26052,22896,10484,12470
65,L-Phenylalanine,241664,236976,243294,255016,207044,228938,354570,354888,334082,328176,320040,357086,346388,326882,204902,187974,271442,264542,302834,289160,387076,367746,346250,352630,170458,167228,417306,416178,322136,302788,419548,410488,221504,199318,435556,384776,298960,314482,240352,233974,283712,285644,250108,247772,222074,225596,343478,229234,51878,43458,41640,41740,150478,146262,115956,123972,55464,59174,425086,427026,144984,137626,336970,324072,359562,324902,168914,140994,170178,159564,161212,170170,263654,244784,352312,352284,136692,137184,256294,266764,310816,294754,192608,178922,115112,127068,309296,229488,305626,315494
66,L-Proline,2694,3076,4836,4430,5636,5712,4618,4410,5064,5092,3270,3378,3658,3338,3194,2566,4398,4850,3118,3626,3884,3546,5946,5560,3042,3746,5638,4696,5580,5456,3988,4036,2922,3090,5046,4960,4632,5246,5074,4500,3534,3712,4156,5792,3292,3476,3992,3828,1660,1730,1526,1684,3164,2606,3482,3976,1608,2136,5626,4662,3872,3594,4072,3414,3948,3670,2982,2768,3046,2948,2848,2374,5652,3988,4118,3362,3222,2998,2686,2230,3712,3730,3278,3260,1778,2064,3504,3406,2140,2248
67,L-Tryptophan,181044,183600,204956,221662,134968,143300,220748,208262,212872,221480,215440,216424,173418,173878,98172,90612,152560,155012,167554,172356,136476,133324,247672,234058,121842,111350,318896,310190,166112,159732,263362,271610,143334,148198,212210,211722,229542,221876,90182,89154,230606,234694,122672,116820,130798,123294,287180,269746,32552,33796,25272,24472,82412,77116,41198,46824,33070,35088,276238,282094,127744,124670,163424,162150,138936,127034,126208,128686,114442,111758,98660,104334,171168,160356,335810,327008,82268,74422,150486,156216,167620,186640,122612,115410,76096,63752,253760,242048,146498,149328
68,L-Valine,8960,9900,9822,8794,3968,8084,5558,6268,7272,5822,6478,6548,8068,7540,5076,4860,6542,6694,7596,9242,12728,10538,8708,8024,8314,7292,11566,10624,13070,13826,5652,5908,7720,7654,8876,8290,7370,8148,7624,8764,11194,11530,13936,16060,6126,5526,13050,11374,2178,1778,2232,2336,5092,3482,2136,2378,2192,1888,15940,15330,7074,6952,9606,10224,5346,5648,8330,7350,9246,7648,7346,7332,4756,5762,9538,8864,6416,5088,9850,10552,6030,6548,3678,4170,3154,3610,7816,8082,8906,8010
69,m-Coumaric acid,31338,26806,34174,27346,11618,22390,45624,47524,30520,10716,26530,19330,4956,6368,15374,15344,23408,20246,22302,21742,20840,19960,27132,41956,14384,14030,26948,30088,24454,6124,37956,41314,15642,17150,42434,4270,25710,25766,22156,22374,35542,34478,7240,7682,17882,17676,26374,33788,3466,4482,4326,2654,7806,11166,8724,14270,5718,4366,25344,27510,15186,16400,34944,34858,30962,16962,10262,18446,19854,22376,10946,10658,24642,24474,37148,30182,11680,11210,21534,11532,14162,12738,10918,18784,4312,5168,8494,6488,9866,15718
70,N-Acetylputrescine,11598,10178,7828,6438,7302,4756,5302,3498,3158,3500,3878,3554,2948,3468,3284,2500,2548,3038,3590,3912,3634,3210,2078,0,2188,2716,2990,2828,3822,3500,4588,4786,4650,4414,3928,3700,4636,5042,5126,5198,4126,3746,3590,3036,2510,1764,1840,1766,1852,2184,1810,0,2244,0,2350,2446,3160,2670,2692,2294,3116,2540,2916,2872,2138,2058,2620,3120,2176,1954,0,1676,1926,2506,2188,2744,2132,2034,0,1724,1714,2108,1842,2080,1764,1770,0,0,0,1888
71,N-Acetylserotonin,334,752,1826,1388,0,0,2150,1642,426,808,704,606,416,0,552,540,682,624,1134,858,1656,2342,614,436,0,290,568,702,2306,1982,3424,3158,856,694,0,134,25194,20200,7916,6826,2408,2414,2942,2320,622,220,432,214,404,0,0,0,404,0,2104,1712,88,320,650,568,402,330,1042,1556,216,366,514,650,1110,748,1232,1152,498,404,880,758,422,0,3340,3488,832,878,300,282,396,616,1670,2114,626,722
72,N-Methylhydantoin,9126,6272,8166,6720,3338,4800,10370,8688,9768,6668,9136,9148,6064,7390,2822,4140,5578,3766,7878,8240,6226,4478,7958,9380,3386,4334,15320,9474,4450,4682,12906,8538,5310,4380,5172,7428,5852,5650,3220,2364,7076,7036,4326,3700,3592,3428,13150,8434,730,726,716,442,1596,2136,1102,888,654,754,8830,12064,3424,4190,5128,5050,3486,5222,3218,0,4334,3540,2300,2918,7468,5926,12000,11870,1874,1894,5708,3478,6028,7286,2920,3514,1894,11398,10236,6210,4902,4028
73,Niacinamide,1730,1658,1592,1280,2562,2240,1444,1108,1382,1736,260,322,2354,330,1054,520,1476,1854,1470,1622,678,2334,1982,1796,1182,1010,17602,16556,11592,14424,17754,13510,6282,6880,9886,0,8040,5670,7044,6876,8304,8970,9968,8590,7948,8814,2292,3630,238,448,102,378,702,818,176,300,222,498,3054,2932,1616,1904,2214,2984,2266,3066,1108,1210,1440,1772,1206,188,3120,3620,2592,2140,588,892,3160,2084,1468,394,1284,1202,980,0,1212,180,206,1224
74,Normetanephrine,1638,1672,2350,2418,974,988,3336,2906,2172,2884,4678,3906,2090,1864,1716,2066,0,0,1822,2490,3184,3386,7404,6918,1050,0,0,2208,2238,1834,5704,4538,1716,1916,2698,2770,3168,3226,1894,2200,3310,3226,1646,730,2152,2178,2944,3106,482,280,564,600,1192,1272,304,370,570,592,3062,3708,1644,1724,3944,4200,2298,3514,750,1228,2256,1864,2194,2054,2410,2152,3126,2994,274,0,1368,1362,0,2110,1830,1998,724,1220,2920,2286,1194,480
75,Nutriacholic acid,49024,53744,41130,28836,14404,8012,7972,1998,2322,5374,5566,4788,4368,4288,4586,7116,8954,7252,11042,12596,9902,11334,6270,7280,7018,8580,10288,6798,11552,18100,18678,21546,15276,17738,12064,14970,17610,20732,20796,13950,11730,15832,6288,4540,3722,962,2228,0,3086,4294,2834,3570,5026,6396,10958,14696,14320,23158,13744,17240,23410,22096,20594,21484,23924,15712,19624,18182,14042,6180,4636,4560,10834,10332,12866,13606,11982,7316,4690,7050,11358,10946,12098,15254,11118,8562,4910,6150,8962,10366
76,o-Tyrosine,8110,8472,762,780,36876,37964,4172,0,1090,2140,39606,57066,3010,3510,1082,1508,91578,91664,3122,3146,51120,52270,3170,2150,9796,10588,52768,50956,36642,30116,6768,7524,822,634,29536,24744,105914,99252,20664,23376,1358,1548,3016,2908,10346,14066,3670,3286,1214,884,1194,1544,4722,6068,5474,4548,896,838,7574,7668,1862,1654,1170,1412,1442,1496,10674,7974,11436,10098,2930,2166,460,124,40126,39524,292,776,3444,3568,146,434,732,836,6110,3812,5588,5568,12610,13466
77,Oxalacetic acid,0,0,4094,4506,0,2558,3480,2840,0,3574,0,4024,4640,4512,0,0,4278,0,0,3522,5186,0,4962,3550,3494,2870,6864,0,3592,4116,4608,0,3496,3424,3838,4618,5380,4162,3890,0,4678,4940,3404,3754,4128,3840,5090,0,0,0,0,0,0,0,0,2160,0,0,0,0,0,2706,4090,0,0,4564,2586,3372,2994,4230,0,2700,4480,5552,6084,5356,0,0,3846,5208,4210,0,2892,2956,0,0,4926,4934,0,0
78,Oxypurinol,468,386,856,906,252,458,1066,554,1214,0,214,518,0,84,0,0,1716,1984,626,400,3700,5780,494,692,696,914,372,826,184,148,1398,1910,1032,888,1400,140,978,386,940,1034,990,1304,238,0,978,434,1098,1622,0,110,0,0,224,268,212,322,118,0,802,358,844,716,1628,1868,2608,0,1688,1428,1358,1476,510,332,2320,1564,1656,1914,816,640,1254,506,440,438,0,1190,100,404,348,366,632,1132
79,Pantothenic acid,3804,0,6734,7438,2462,2692,3726,3368,4650,4938,3190,3622,4924,4676,998,830,10404,7386,3618,4150,7410,6598,4476,4744,3116,1898,9646,9822,6678,5302,11050,10308,3652,3622,6370,5444,19728,17962,9588,8394,4802,4112,2162,2456,3216,2730,6810,7678,570,654,146,532,1386,1114,1414,1496,654,676,7544,8078,3636,3162,3280,3200,3714,4048,1570,2166,2278,2786,3610,2232,9850,7616,4592,4746,2600,2366,6194,6656,2746,2766,2038,2158,948,1208,7270,6852,3528,3406
80,Paracetamol sulfate,12512,11706,448,0,9364,9372,4590,5204,714,500,46002,43148,1044,1510,918,670,16778,16092,9092,9306,39176,41198,1194,1444,17148,17098,19620,16692,28242,29344,1178,1064,0,310,25128,24350,26698,26736,14832,15274,360,230,724,882,2704,2776,2322,2244,1820,1902,1510,1268,4082,3964,942,1082,3110,2430,5026,3658,0,0,1004,1204,262,356,2548,2654,12230,12966,666,664,0,0,13648,15168,0,152,340,0,62,0,0,0,11530,12580,1844,1762,25360,25202
81,Paraxanthine,72346,65908,2736,2802,46660,52928,2508,2460,19246,19756,9452,9386,90888,88370,18464,17058,36468,38196,14674,11008,106848,116710,28328,28148,56514,60012,101798,119940,202496,208852,42600,48994,16182,18606,55908,56166,4736,3712,16880,15812,24478,29012,83458,89782,2972,2792,98532,100308,2084,1570,4720,4254,964,556,872,818,2422,2828,109064,112838,42676,48600,280,224,18634,17792,67220,77466,12876,13656,12612,12460,15826,17926,60562,67916,3056,2758,113880,117196,1320,1154,3440,3182,0,326,13914,13702,54916,56960
82,PC(16:0/16:0),0,0,0,700,952,1428,2240,2804,3530,3236,4002,3908,3564,4412,3974,3892,4340,4968,4852,4850,5450,5934,4598,4290,3152,5390,7708,9492,11788,8562,9056,8454,7756,3202,5914,3518,3438,3538,4002,4142,5834,7222,3866,4512,4506,3146,6010,4624,3534,3650,3090,3886,4544,8032,4454,4226,5184,3082,5136,5858,2018,2106,2534,1668,1432,924,2408,2376,2090,3436,3194,3366,4980,4808,11870,12900,11098,5442,5204,7250,2870,3880,4082,4336,5250,4232,2406,2456,4460,5996
83,PC(18:1(9Z)/18:1(9Z)),0,186,338,360,402,1216,1978,2678,5620,9030,11470,12084,13216,16412,15114,13728,13026,14120,13982,12698,13680,12340,13592,15356,13346,11162,11362,11684,10212,14266,13376,11954,11816,12018,12558,12420,11286,9092,7398,6624,5878,7052,6302,6886,7364,6994,7146,7714,14898,15828,13954,13198,13226,12434,15554,13830,14214,13386,12162,12538,12472,9254,9476,6528,5230,3482,2798,2448,6100,6574,5584,5826,5672,7434,11440,14918,19088,26834,22220,21366,16072,13404,12668,13270,15006,13604,12170,10756,11928,11148
84,Phenylpropiolic acid,5880,5440,5372,5694,2664,3490,8270,8128,4694,4138,5290,3146,1004,3218,2590,2372,3862,3710,3300,4150,2648,3766,7582,6462,2428,2684,3136,5724,4562,2266,7134,7466,2888,3174,7466,1408,4560,4158,3536,4632,5672,5998,984,1944,2994,3128,4748,6696,632,1326,686,620,2266,1954,2300,2056,958,462,4436,3632,2752,2432,5986,5868,4848,3256,2474,2926,3158,4034,2610,2172,4512,4056,5244,5388,2088,2230,4118,2778,3780,2972,2096,3210,0,822,1994,654,2002,2436
85,Phosphoric acid,2496,2176,1182,1616,1310,1678,1848,2116,1572,2008,2652,2316,4058,3384,1194,1620,1150,1048,2060,1930,1202,816,1960,2336,1104,1366,1822,1720,1174,0,2462,2234,1246,0,1980,2038,2472,2512,1848,1162,2104,1746,976,2032,1036,1410,1800,1182,2024,582,842,0,1530,0,1358,758,1120,1080,1902,1962,1032,1520,1636,1030,0,2088,1352,0,0,1114,0,1618,2170,2244,1914,2102,1352,1448,0,1878,1390,1478,1080,0,1296,1856,2196,2186,2174,0
86,Pipecolic acid,1916,2360,3828,3870,3350,2316,2284,3034,4062,5138,2806,2482,3836,3278,1148,1484,1774,1592,1460,1352,4214,3876,2734,2776,1596,1432,3828,2886,1868,2172,3504,3050,3568,2700,3910,6414,1632,1888,1378,1526,9444,9168,1694,1336,1450,1690,3634,2368,652,0,1218,854,1286,1262,1752,1426,970,812,2858,2982,1890,1806,3076,4396,2980,4376,1558,1404,1490,2556,1970,1510,6182,5966,5744,5376,1962,1624,4022,2962,3016,2362,1362,1512,1206,1266,2050,1990,0,1036
87,Propanal,29880,26918,31658,29566,35486,31688,31568,35924,35086,37012,37012,34426,44642,44070,45548,47600,46248,45174,47550,49696,47182,43766,45402,45136,49398,47770,44412,46590,46154,47396,48952,45752,46550,48258,45970,43946,49124,49002,43872,48014,46982,46256,46122,49542,48160,48090,43248,48946,43160,42972,43956,42620,49220,38512,42110,44858,55188,43870,43810,43100,43352,43502,43838,41074,42802,44784,42604,43782,40370,40608,39916,42554,43426,59826,40668,40768,44982,43374,41618,43770,43902,42952,44782,41652,42178,44600,41758,41428,42466,43956
88,Pyridoxal 5'-phosphate,1856,2438,2932,2556,2878,3408,4018,2872,3262,3024,2574,3410,2978,2358,3214,2988,3758,2852,2602,3732,3226,3450,3536,2674,3260,3516,3680,3218,3432,2860,3120,2846,2988,3374,2906,3342,4218,3788,3526,3760,3524,2902,4060,2854,3150,2664,3124,3146,2584,3684,2788,2666,2690,2938,2672,2912,2850,3094,3224,2880,2530,2546,2760,2350,3002,2638,2562,2700,2402,3082,2678,2502,2408,2488,2304,2428,2606,2642,2352,2046,2106,2092,2170,2676,2262,2270,2390,2464,2362,2888
89,Pyroglutamic acid,5794,5576,21038,20292,2066,2022,19262,20338,6068,6764,6808,6354,5510,3816,480,624,6750,6362,11386,11290,18896,19398,5048,3958,2928,3274,7128,7422,0,21740,33206,34542,7748,4940,1280,1034,398472,377080,92646,97420,29244,28552,30374,29190,4208,5524,3296,2572,930,886,576,556,3688,3282,23066,23022,610,998,1750,2204,3878,3744,10664,9906,1458,980,5412,6580,7714,6094,12752,11320,3468,3894,6508,7692,862,1136,41070,42318,6008,6980,4048,2884,4014,3702,16580,15846,6134,6560
90,Quinaldic acid,0,0,0,0,0,0,5842,5746,5464,4156,5150,5894,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3532,3684,0,0,5224,5156,5064,4538,4348,4234,0,0,0,0,2232,1840,0,0,0,0,374,0,3176,3018,0,0,344,358,0,0,0,0,0,0,3506,3460,0,0,0,0,0,0,0,0,0,0,1354,1206,0,0,0,0,4576,3710,0,0,0,0,0,0
91,Sepiapterin,5844,6270,6024,5684,248,0,6144,5824,8040,8386,7924,7986,7866,7304,0,540,7518,7494,9362,11192,6860,6190,3572,4336,18110,17522,102,0,832,836,0,0,664,640,288,0,84,0,344,0,0,324,0,424,0,438,2908,3582,5060,4866,1766,1826,5398,5436,1870,2008,3526,2826,0,0,3712,3664,1794,2592,3850,4236,6560,6104,3908,5188,8094,7978,3000,2718,1606,1508,1560,1358,3236,2702,3950,5702,3402,3798,4690,4790,2924,1822,1814,2070
92,Serotonin,0,0,128,0,344,474,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3158,4154,0,0,0,0,0,0,150,0,0,0,0,0,0,0,198,278,208,0,0,0,0,284,0,140,0,216,0,0,0,198,0,0,0,0,0,0,0,0,0,0,0,116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
93,Sphingosine,8134,9042,8034,8160,3026,3366,5446,4344,3442,4252,5080,5916,5106,4586,3004,2678,4544,4872,3604,3688,4026,4082,3678,3264,1778,2708,6890,6322,4006,3920,5826,5304,4096,2914,4904,5592,4562,5536,3812,3810,7742,8930,2658,2244,2168,2090,4216,4476,1718,1850,2030,1596,2586,2368,1970,2254,2624,2296,7152,7470,3434,3576,7518,8132,7534,7178,3488,2584,2536,2320,2434,2456,5382,7012,5734,5852,2538,2572,5940,4774,5200,5828,3478,3170,2468,2428,7350,6256,2830,2684
94,Succinic acid,240,0,680,588,0,0,0,182,0,0,0,0,0,216,126,106,374,482,0,0,1148,942,180,0,386,346,624,240,208,180,374,234,364,404,1202,0,298,278,578,706,224,176,0,132,164,122,1206,1022,434,258,260,248,0,382,130,206,0,174,0,0,2706,2328,3894,4886,1270,1750,628,2556,1788,2198,582,0,2082,1652,1396,2130,1454,1314,2086,1552,706,340,0,2332,324,0,1352,1472,0,260
95,Succinylacetone,1882,1930,2090,1970,1994,1916,1812,772,794,1080,1122,1062,2958,1162,1794,1766,1280,1276,2196,1946,2806,2634,1384,780,1444,1402,1338,1530,2734,2434,2420,2674,2490,2524,3094,2830,2600,3304,3616,3428,2928,2664,2108,1360,1366,860,544,892,1670,1604,1866,1542,1448,1404,2282,2252,3800,4898,2570,2168,4154,5308,3108,3812,3492,3344,2870,3324,2882,1650,1050,972,1654,2544,2176,2444,2524,1852,878,1192,2260,2188,2676,2296,2328,1224,890,1106,2350,1396
